ttl,ip_flags,ip_len,src_port,dst_port,tcp_flags,tcp_seq,tcp_ack,tcp_window,is_tcp,is_udp,is_icmp,flow_duration_log,flow_pps_norm,flow_bps_norm,syn_ratio,three_way_handshake_ratio,half_open_connections,window_1s_pps,window_1s_bps,window_1s_syn_ratio,label
56,DF,936,443,41262,,N/A,N/A,N/A,0,1,0,1.4463992636987024,0.27526395289580424,1.0,0.0,0,0,180,145337,0.03888888888888889,0
64,DF,73,41262,443,,N/A,N/A,N/A,0,1,0,1.4458694467162605,0.07733685609906978,0.6723992871115537,0.0,0,0,180,145337,0.03888888888888889,0
64,DF,73,41262,443,,N/A,N/A,N/A,0,1,0,1.4458694467162605,0.07764497106360792,0.674648526352682,0.0,0,0,180,145337,0.03888888888888889,0
64,DF,73,41262,443,,N/A,N/A,N/A,0,1,0,1.446247819825909,0.07791451451180981,0.6765628337193477,0.0,0,0,180,145337,0.03888888888888889,0
64,DF,73,41262,443,,N/A,N/A,N/A,0,1,0,1.446247819825909,0.07822247701976162,0.6788109600273959,0.0,0,0,180,145337,0.03888888888888889,0
56,DF,1228,443,41262,,N/A,N/A,N/A,0,1,0,1.4538521712764214,0.2729017607275399,1.0,0.0,0,0,180,145337,0.03888888888888889,0
56,DF,1228,443,41262,,N/A,N/A,N/A,0,1,0,1.4538521712764214,0.2732066788959505,1.0,0.0,0,0,180,145337,0.03888888888888889,0
56,DF,1228,443,41262,,N/A,N/A,N/A,0,1,0,1.4538521712764214,0.2735115970643612,1.0,0.0,0,0,180,145337,0.03888888888888889,0
56,DF,1228,443,41262,,N/A,N/A,N/A,0,1,0,1.4544130783420453,0.2736161890187248,1.0,0.0,0,0,180,145337,0.03888888888888889,0
56,DF,1228,443,41262,,N/A,N/A,N/A,0,1,0,1.4544130783420453,0.273920884106719,1.0,0.0,0,0,180,145337,0.03888888888888889,0
56,DF,1228,443,41262,,N/A,N/A,N/A,0,1,0,1.4546479632109863,0.27414155778767113,1.0,0.0,0,0,180,145337,0.03888888888888889,0
56,DF,1228,443,41262,,N/A,N/A,N/A,0,1,0,1.4547760438005146,0.27440030589384423,1.0,0.0,0,0,180,145337,0.03888888888888889,0
56,DF,1228,443,41262,,N/A,N/A,N/A,0,1,0,1.454901325367661,0.27465996454714486,1.0,0.0,0,0,180,145337,0.03888888888888889,0
56,DF,1228,443,41262,,N/A,N/A,N/A,0,1,0,1.454901325367661,0.2749644656164876,1.0,0.0,0,0,180,145337,0.03888888888888889,0
56,DF,1228,443,41262,,N/A,N/A,N/A,0,1,0,1.454901325367661,0.27526896668583034,1.0,0.0,0,0,180,145337,0.03888888888888889,0
56,DF,1228,443,41262,,N/A,N/A,N/A,0,1,0,1.454901325367661,0.27557346775517305,1.0,0.0,0,0,180,145337,0.03888888888888889,0
64,DF,73,41262,443,,N/A,N/A,N/A,0,1,0,1.454731515251529,0.07766497537123952,0.6735533060137106,0.0,0,0,180,145337,0.03888888888888889,0
56,DF,1228,443,41262,,N/A,N/A,N/A,0,1,0,1.4552566589303453,0.2757501268256011,1.0,0.0,0,0,180,145337,0.03888888888888889,0
64,DF,73,41262,443,,N/A,N/A,N/A,0,1,0,1.4549886402878411,0.07794339542381132,0.6755500225248148,0.0,0,0,180,145337,0.03888888888888889,0
56,DF,1228,443,41262,,N/A,N/A,N/A,0,1,0,1.45575845125492,0.27587387711037986,1.0,0.0,0,0,180,145337,0.03888888888888889,0
56,DF,1228,443,41262,,N/A,N/A,N/A,0,1,0,1.45575845125492,0.27617803794512114,1.0,0.0,0,0,180,145337,0.03888888888888889,0
56,DF,1228,443,41262,,N/A,N/A,N/A,0,1,0,1.45575845125492,0.27648219877986246,1.0,0.0,0,0,180,145337,0.03888888888888889,0
56,DF,1228,443,41262,,N/A,N/A,N/A,0,1,0,1.456140438825205,0.27664851440511407,1.0,0.0,0,0,180,145337,0.03888888888888889,0
56,DF,1228,443,41262,,N/A,N/A,N/A,0,1,0,1.4562705514678662,0.27690553866741785,1.0,0.0,0,0,180,145337,0.03888888888888889,0
64,DF,73,41262,443,,N/A,N/A,N/A,0,1,0,1.455872656979253,0.07815769285121439,0.6769915955489819,0.0,0,0,180,145337,0.03888888888888889,0
64,DF,73,41262,443,,N/A,N/A,N/A,0,1,0,1.455872656979253,0.07846180838760045,0.6792116389646001,0.0,0,0,180,145337,0.03888888888888889,0
56,DF,1228,443,41262,,N/A,N/A,N/A,0,1,0,1.4566315101259608,0.2770790587640474,1.0,0.0,0,0,180,145337,0.03888888888888889,0
56,DF,1228,443,41262,,N/A,N/A,N/A,0,1,0,1.4566315101259608,0.2773828735214641,1.0,0.0,0,0,180,145337,0.03888888888888889,0
56,DF,1228,443,41262,,N/A,N/A,N/A,0,1,0,1.4566315101259608,0.2776866882788809,1.0,0.0,0,0,180,145337,0.03888888888888889,0
64,DF,73,41262,443,,N/A,N/A,N/A,0,1,0,1.4561070881346871,0.07874184772602665,0.6812233907324631,0.0,0,0,180,145337,0.03888888888888889,0
64,DF,73,41262,443,,N/A,N/A,N/A,0,1,0,1.4561070881346871,0.07904587030411941,0.6834427555525402,0.0,0,0,180,145337,0.03888888888888889,0
56,DF,1228,443,41262,,N/A,N/A,N/A,0,1,0,1.4572674271624972,0.277760133864904,1.0,0.0,0,0,180,145337,0.03888888888888889,0
64,DF,73,41262,443,,N/A,N/A,N/A,0,1,0,1.4567433386414654,0.07928409112801049,0.6850935276666745,0.0,0,0,180,145337,0.03888888888888889,0
